gene_id	gene_name	gene_name_2	gene_type
ENSG00000136122	ENSG00000136122	BORA	BORA:ENSG00000136122	protein_coding
ENSG00000136141	ENSG00000136141	LRCH1	LRCH1:ENSG00000136141	protein_coding
ENSG00000136143	ENSG00000136143	SUCLA2	SUCLA2:ENSG00000136143	protein_coding
ENSG00000136144	ENSG00000136144	RCBTB1	RCBTB1:ENSG00000136144	protein_coding
ENSG00000136146	ENSG00000136146	MED4	MED4:ENSG00000136146	protein_coding
ENSG00000136147	ENSG00000136147	PHF11	PHF11:ENSG00000136147	protein_coding
ENSG00000136152	ENSG00000136152	COG3	COG3:ENSG00000136152	protein_coding
ENSG00000136153	ENSG00000136153	LMO7	LMO7:ENSG00000136153	protein_coding
ENSG00000136155	ENSG00000136155	SCEL	SCEL:ENSG00000136155	protein_coding
ENSG00000136156	ENSG00000136156	ITM2B	ITM2B:ENSG00000136156	protein_coding
ENSG00000136158	ENSG00000136158	SPRY2	SPRY2:ENSG00000136158	protein_coding
ENSG00000136159	ENSG00000136159	NUDT15	NUDT15:ENSG00000136159	protein_coding
ENSG00000136160	ENSG00000136160	EDNRB	EDNRB:ENSG00000136160	protein_coding
ENSG00000136161	ENSG00000136161	RCBTB2	RCBTB2:ENSG00000136161	protein_coding
ENSG00000136167	ENSG00000136167	LCP1	LCP1:ENSG00000136167	protein_coding
ENSG00000136169	ENSG00000136169	SETDB2	SETDB2:ENSG00000136169	protein_coding
ENSG00000136193	ENSG00000136193	SCRN1	SCRN1:ENSG00000136193	protein_coding
ENSG00000136197	ENSG00000136197	C7orf25	C7orf25:ENSG00000136197	protein_coding
ENSG00000136205	ENSG00000136205	TNS3	TNS3:ENSG00000136205	protein_coding
ENSG00000136206	ENSG00000136206	SPDYE1	SPDYE1:ENSG00000136206	protein_coding
ENSG00000136213	ENSG00000136213	CHST12	CHST12:ENSG00000136213	protein_coding
ENSG00000136231	ENSG00000136231	IGF2BP3	IGF2BP3:ENSG00000136231	protein_coding
ENSG00000136235	ENSG00000136235	GPNMB	GPNMB:ENSG00000136235	protein_coding
ENSG00000136237	ENSG00000136237	RAPGEF5	RAPGEF5:ENSG00000136237	protein_coding
ENSG00000136238	ENSG00000136238	RAC1	RAC1:ENSG00000136238	protein_coding
ENSG00000136240	ENSG00000136240	KDELR2	KDELR2:ENSG00000136240	protein_coding
ENSG00000136243	ENSG00000136243	NUPL2	NUPL2:ENSG00000136243	protein_coding
ENSG00000136244	ENSG00000136244	IL6	IL6:ENSG00000136244	protein_coding
ENSG00000136247	ENSG00000136247	ZDHHC4	ZDHHC4:ENSG00000136247	protein_coding
ENSG00000136250	ENSG00000136250	AOAH	AOAH:ENSG00000136250	protein_coding
ENSG00000136261	ENSG00000136261	BZW2	BZW2:ENSG00000136261	protein_coding
ENSG00000136267	ENSG00000136267	DGKB	DGKB:ENSG00000136267	protein_coding
ENSG00000136270	ENSG00000136270	TBRG4	TBRG4:ENSG00000136270	protein_coding
ENSG00000136271	ENSG00000136271	DDX56	DDX56:ENSG00000136271	protein_coding
ENSG00000136273	ENSG00000136273	HUS1	HUS1:ENSG00000136273	protein_coding
ENSG00000136274	ENSG00000136274	NACAD	NACAD:ENSG00000136274	protein_coding
ENSG00000136275	ENSG00000136275	C7orf69	C7orf69:ENSG00000136275	antisense
ENSG00000136279	ENSG00000136279	DBNL	DBNL:ENSG00000136279	protein_coding
ENSG00000136280	ENSG00000136280	CCM2	CCM2:ENSG00000136280	protein_coding
ENSG00000136286	ENSG00000136286	MYO1G	MYO1G:ENSG00000136286	protein_coding
ENSG00000136295	ENSG00000136295	TTYH3	TTYH3:ENSG00000136295	protein_coding
ENSG00000136297	ENSG00000136297	MMD2	MMD2:ENSG00000136297	protein_coding
ENSG00000136305	ENSG00000136305	CIDEB	CIDEB:ENSG00000136305	protein_coding
ENSG00000136315	ENSG00000136315	AL355922.1	AL355922.1:ENSG00000136315	lincRNA
ENSG00000136319	ENSG00000136319	TTC5	TTC5:ENSG00000136319	protein_coding
ENSG00000136327	ENSG00000136327	NKX2-8	NKX2-8:ENSG00000136327	protein_coding
ENSG00000136352	ENSG00000136352	NKX2-1	NKX2-1:ENSG00000136352	protein_coding
ENSG00000136367	ENSG00000136367	ZFHX2	ZFHX2:ENSG00000136367	protein_coding
ENSG00000136371	ENSG00000136371	MTHFS	MTHFS:ENSG00000136371	protein_coding
ENSG00000136378	ENSG00000136378	ADAMTS7	ADAMTS7:ENSG00000136378	protein_coding
ENSG00000136379	ENSG00000136379	ABHD17C	ABHD17C:ENSG00000136379	protein_coding
ENSG00000136381	ENSG00000136381	IREB2	IREB2:ENSG00000136381	protein_coding
ENSG00000136383	ENSG00000136383	ALPK3	ALPK3:ENSG00000136383	protein_coding
ENSG00000136404	ENSG00000136404	TM6SF1	TM6SF1:ENSG00000136404	protein_coding
ENSG00000136425	ENSG00000136425	CIB2	CIB2:ENSG00000136425	protein_coding
ENSG00000136436	ENSG00000136436	CALCOCO2	CALCOCO2:ENSG00000136436	protein_coding
ENSG00000136444	ENSG00000136444	RSAD1	RSAD1:ENSG00000136444	protein_coding
ENSG00000136448	ENSG00000136448	NMT1	NMT1:ENSG00000136448	protein_coding
ENSG00000136449	ENSG00000136449	MYCBPAP	MYCBPAP:ENSG00000136449	protein_coding
ENSG00000136450	ENSG00000136450	SRSF1	SRSF1:ENSG00000136450	protein_coding
ENSG00000136451	ENSG00000136451	VEZF1	VEZF1:ENSG00000136451	protein_coding
ENSG00000136457	ENSG00000136457	CHAD	CHAD:ENSG00000136457	protein_coding
ENSG00000136463	ENSG00000136463	TACO1	TACO1:ENSG00000136463	protein_coding
ENSG00000136478	ENSG00000136478	TEX2	TEX2:ENSG00000136478	protein_coding
ENSG00000136485	ENSG00000136485	DCAF7	DCAF7:ENSG00000136485	protein_coding
ENSG00000136487	ENSG00000136487	GH2	GH2:ENSG00000136487	protein_coding
ENSG00000136488	ENSG00000136488	CSH1	CSH1:ENSG00000136488	protein_coding
ENSG00000136490	ENSG00000136490	LIMD2	LIMD2:ENSG00000136490	protein_coding
ENSG00000136492	ENSG00000136492	BRIP1	BRIP1:ENSG00000136492	protein_coding
ENSG00000136504	ENSG00000136504	KAT7	KAT7:ENSG00000136504	protein_coding
ENSG00000136514	ENSG00000136514	RTP4	RTP4:ENSG00000136514	protein_coding
ENSG00000136518	ENSG00000136518	ACTL6A	ACTL6A:ENSG00000136518	protein_coding
ENSG00000136521	ENSG00000136521	NDUFB5	NDUFB5:ENSG00000136521	protein_coding
ENSG00000136522	ENSG00000136522	MRPL47	MRPL47:ENSG00000136522	protein_coding
ENSG00000136527	ENSG00000136527	TRA2B	TRA2B:ENSG00000136527	protein_coding
ENSG00000136531	ENSG00000136531	SCN2A	SCN2A:ENSG00000136531	protein_coding
ENSG00000136535	ENSG00000136535	TBR1	TBR1:ENSG00000136535	protein_coding
ENSG00000136536	ENSG00000136536	MARCH7	MARCH7:ENSG00000136536	protein_coding
ENSG00000136541	ENSG00000136541	ERMN	ERMN:ENSG00000136541	protein_coding
ENSG00000136542	ENSG00000136542	GALNT5	GALNT5:ENSG00000136542	protein_coding
ENSG00000136546	ENSG00000136546	SCN7A	SCN7A:ENSG00000136546	protein_coding
ENSG00000136560	ENSG00000136560	TANK	TANK:ENSG00000136560	protein_coding
ENSG00000136573	ENSG00000136573	BLK	BLK:ENSG00000136573	protein_coding
ENSG00000136574	ENSG00000136574	GATA4	GATA4:ENSG00000136574	protein_coding
ENSG00000136603	ENSG00000136603	SKIL	SKIL:ENSG00000136603	protein_coding
ENSG00000136628	ENSG00000136628	EPRS	EPRS:ENSG00000136628	protein_coding
ENSG00000136630	ENSG00000136630	HLX	HLX:ENSG00000136630	protein_coding
ENSG00000136631	ENSG00000136631	VPS45	VPS45:ENSG00000136631	protein_coding
ENSG00000136634	ENSG00000136634	IL10	IL10:ENSG00000136634	protein_coding
ENSG00000136636	ENSG00000136636	KCTD3	KCTD3:ENSG00000136636	protein_coding
ENSG00000136643	ENSG00000136643	RPS6KC1	RPS6KC1:ENSG00000136643	protein_coding
ENSG00000136682	ENSG00000136682	CBWD2	CBWD2:ENSG00000136682	protein_coding
ENSG00000136688	ENSG00000136688	IL36G	IL36G:ENSG00000136688	protein_coding
ENSG00000136689	ENSG00000136689	IL1RN	IL1RN:ENSG00000136689	protein_coding
ENSG00000136694	ENSG00000136694	IL36A	IL36A:ENSG00000136694	protein_coding
ENSG00000136695	ENSG00000136695	IL36RN	IL36RN:ENSG00000136695	protein_coding
ENSG00000136696	ENSG00000136696	IL36B	IL36B:ENSG00000136696	protein_coding
ENSG00000136697	ENSG00000136697	IL1F10	IL1F10:ENSG00000136697	protein_coding
ENSG00000136698	ENSG00000136698	CFC1	CFC1:ENSG00000136698	protein_coding
ENSG00000136699	ENSG00000136699	SMPD4	SMPD4:ENSG00000136699	protein_coding
ENSG00000136709	ENSG00000136709	WDR33	WDR33:ENSG00000136709	protein_coding
ENSG00000136710	ENSG00000136710	CCDC115	CCDC115:ENSG00000136710	protein_coding
ENSG00000136715	ENSG00000136715	SAP130	SAP130:ENSG00000136715	protein_coding
ENSG00000136717	ENSG00000136717	BIN1	BIN1:ENSG00000136717	protein_coding
ENSG00000136718	ENSG00000136718	IMP4	IMP4:ENSG00000136718	protein_coding
ENSG00000136720	ENSG00000136720	HS6ST1	HS6ST1:ENSG00000136720	protein_coding
ENSG00000136731	ENSG00000136731	UGGT1	UGGT1:ENSG00000136731	protein_coding
ENSG00000136732	ENSG00000136732	GYPC	GYPC:ENSG00000136732	protein_coding
ENSG00000136738	ENSG00000136738	STAM	STAM:ENSG00000136738	protein_coding
ENSG00000136750	ENSG00000136750	GAD2	GAD2:ENSG00000136750	protein_coding
ENSG00000136754	ENSG00000136754	ABI1	ABI1:ENSG00000136754	protein_coding
ENSG00000136758	ENSG00000136758	YME1L1	YME1L1:ENSG00000136758	protein_coding
ENSG00000136770	ENSG00000136770	DNAJC1	DNAJC1:ENSG00000136770	protein_coding
ENSG00000136783	ENSG00000136783	NIPSNAP3A	NIPSNAP3A:ENSG00000136783	protein_coding
ENSG00000136802	ENSG00000136802	LRRC8A	LRRC8A:ENSG00000136802	protein_coding
ENSG00000136807	ENSG00000136807	CDK9	CDK9:ENSG00000136807	protein_coding
ENSG00000136810	ENSG00000136810	TXN	TXN:ENSG00000136810	protein_coding
ENSG00000136811	ENSG00000136811	ODF2	ODF2:ENSG00000136811	protein_coding
ENSG00000136813	ENSG00000136813	ECPAS	ECPAS:ENSG00000136813	protein_coding
ENSG00000136816	ENSG00000136816	TOR1B	TOR1B:ENSG00000136816	protein_coding
ENSG00000136819	ENSG00000136819	C9orf78	C9orf78:ENSG00000136819	protein_coding
ENSG00000136824	ENSG00000136824	SMC2	SMC2:ENSG00000136824	protein_coding
ENSG00000136826	ENSG00000136826	KLF4	KLF4:ENSG00000136826	protein_coding
ENSG00000136827	ENSG00000136827	TOR1A	TOR1A:ENSG00000136827	protein_coding
ENSG00000136828	ENSG00000136828	RALGPS1	RALGPS1:ENSG00000136828	protein_coding
ENSG00000136830	ENSG00000136830	FAM129B	FAM129B:ENSG00000136830	protein_coding
ENSG00000136834	ENSG00000136834	OR1J1	OR1J1:ENSG00000136834	protein_coding
ENSG00000136839	ENSG00000136839	OR13C9	OR13C9:ENSG00000136839	protein_coding
ENSG00000136840	ENSG00000136840	ST6GALNAC4	ST6GALNAC4:ENSG00000136840	protein_coding
ENSG00000136842	ENSG00000136842	TMOD1	TMOD1:ENSG00000136842	protein_coding
ENSG00000136848	ENSG00000136848	DAB2IP	DAB2IP:ENSG00000136848	protein_coding
ENSG00000136854	ENSG00000136854	STXBP1	STXBP1:ENSG00000136854	protein_coding
ENSG00000136856	ENSG00000136856	SLC2A8	SLC2A8:ENSG00000136856	protein_coding
ENSG00000136859	ENSG00000136859	ANGPTL2	ANGPTL2:ENSG00000136859	protein_coding
ENSG00000136861	ENSG00000136861	CDK5RAP2	CDK5RAP2:ENSG00000136861	protein_coding
ENSG00000136866	ENSG00000136866	ZFP37	ZFP37:ENSG00000136866	protein_coding
ENSG00000136867	ENSG00000136867	SLC31A2	SLC31A2:ENSG00000136867	protein_coding
ENSG00000136868	ENSG00000136868	SLC31A1	SLC31A1:ENSG00000136868	protein_coding
ENSG00000136869	ENSG00000136869	TLR4	TLR4:ENSG00000136869	protein_coding
ENSG00000136870	ENSG00000136870	ZNF189	ZNF189:ENSG00000136870	protein_coding
ENSG00000136872	ENSG00000136872	ALDOB	ALDOB:ENSG00000136872	protein_coding
ENSG00000136874	ENSG00000136874	STX17	STX17:ENSG00000136874	protein_coding
ENSG00000136875	ENSG00000136875	PRPF4	PRPF4:ENSG00000136875	protein_coding
ENSG00000136877	ENSG00000136877	FPGS	FPGS:ENSG00000136877	protein_coding
ENSG00000136878	ENSG00000136878	USP20	USP20:ENSG00000136878	protein_coding
ENSG00000136881	ENSG00000136881	BAAT	BAAT:ENSG00000136881	protein_coding
ENSG00000136883	ENSG00000136883	KIF12	KIF12:ENSG00000136883	protein_coding
ENSG00000136888	ENSG00000136888	ATP6V1G1	ATP6V1G1:ENSG00000136888	protein_coding
ENSG00000136891	ENSG00000136891	TEX10	TEX10:ENSG00000136891	protein_coding
ENSG00000136895	ENSG00000136895	GARNL3	GARNL3:ENSG00000136895	protein_coding
ENSG00000136897	ENSG00000136897	MRPL50	MRPL50:ENSG00000136897	protein_coding
ENSG00000136908	ENSG00000136908	DPM2	DPM2:ENSG00000136908	protein_coding
ENSG00000136918	ENSG00000136918	WDR38	WDR38:ENSG00000136918	protein_coding
ENSG00000136925	ENSG00000136925	TSTD2	TSTD2:ENSG00000136925	protein_coding
ENSG00000136928	ENSG00000136928	GABBR2	GABBR2:ENSG00000136928	protein_coding
ENSG00000136929	ENSG00000136929	HEMGN	HEMGN:ENSG00000136929	protein_coding
ENSG00000136930	ENSG00000136930	PSMB7	PSMB7:ENSG00000136930	protein_coding
ENSG00000136931	ENSG00000136931	NR5A1	NR5A1:ENSG00000136931	protein_coding
ENSG00000136932	ENSG00000136932	TRMO	TRMO:ENSG00000136932	protein_coding
ENSG00000136933	ENSG00000136933	RABEPK	RABEPK:ENSG00000136933	protein_coding
ENSG00000136935	ENSG00000136935	GOLGA1	GOLGA1:ENSG00000136935	protein_coding
ENSG00000136936	ENSG00000136936	XPA	XPA:ENSG00000136936	protein_coding
ENSG00000136937	ENSG00000136937	NCBP1	NCBP1:ENSG00000136937	protein_coding
ENSG00000136938	ENSG00000136938	ANP32B	ANP32B:ENSG00000136938	protein_coding
ENSG00000136939	ENSG00000136939	OR1L4	OR1L4:ENSG00000136939	protein_coding
ENSG00000136940	ENSG00000136940	PDCL	PDCL:ENSG00000136940	protein_coding
ENSG00000136942	ENSG00000136942	RPL35	RPL35:ENSG00000136942	protein_coding
ENSG00000136943	ENSG00000136943	CTSV	CTSV:ENSG00000136943	protein_coding
ENSG00000136944	ENSG00000136944	LMX1B	LMX1B:ENSG00000136944	protein_coding
ENSG00000136950	ENSG00000136950	ARPC5L	ARPC5L:ENSG00000136950	protein_coding
ENSG00000136960	ENSG00000136960	ENPP2	ENPP2:ENSG00000136960	protein_coding
ENSG00000136982	ENSG00000136982	DSCC1	DSCC1:ENSG00000136982	protein_coding
ENSG00000136986	ENSG00000136986	DERL1	DERL1:ENSG00000136986	protein_coding
ENSG00000136997	ENSG00000136997	MYC	MYC:ENSG00000136997	protein_coding
ENSG00000136999	ENSG00000136999	NOV	NOV:ENSG00000136999	protein_coding
ENSG00000137033	ENSG00000137033	IL33	IL33:ENSG00000137033	protein_coding
ENSG00000137038	ENSG00000137038	DMAC1	DMAC1:ENSG00000137038	protein_coding
ENSG00000137040	ENSG00000137040	RANBP6	RANBP6:ENSG00000137040	protein_coding
ENSG00000137054	ENSG00000137054	POLR1E	POLR1E:ENSG00000137054	protein_coding
ENSG00000137055	ENSG00000137055	PLAA	PLAA:ENSG00000137055	protein_coding
ENSG00000137070	ENSG00000137070	IL11RA	IL11RA:ENSG00000137070	protein_coding
ENSG00000137073	ENSG00000137073	UBAP2	UBAP2:ENSG00000137073	protein_coding
ENSG00000137074	ENSG00000137074	APTX	APTX:ENSG00000137074	protein_coding
ENSG00000137075	ENSG00000137075	RNF38	RNF38:ENSG00000137075	protein_coding
ENSG00000137076	ENSG00000137076	TLN1	TLN1:ENSG00000137076	protein_coding
ENSG00000137077	ENSG00000137077	CCL21	CCL21:ENSG00000137077	protein_coding
ENSG00000137078	ENSG00000137078	SIT1	SIT1:ENSG00000137078	protein_coding
ENSG00000137080	ENSG00000137080	IFNA21	IFNA21:ENSG00000137080	protein_coding
ENSG00000137090	ENSG00000137090	DMRT1	DMRT1:ENSG00000137090	protein_coding
ENSG00000137094	ENSG00000137094	DNAJB5	DNAJB5:ENSG00000137094	protein_coding
ENSG00000137098	ENSG00000137098	SPAG8	SPAG8:ENSG00000137098	protein_coding
ENSG00000137100	ENSG00000137100	DCTN3	DCTN3:ENSG00000137100	protein_coding
ENSG00000137101	ENSG00000137101	CD72	CD72:ENSG00000137101	protein_coding
ENSG00000137103	ENSG00000137103	TMEM8B	TMEM8B:ENSG00000137103	protein_coding
ENSG00000137106	ENSG00000137106	GRHPR	GRHPR:ENSG00000137106	protein_coding
ENSG00000137124	ENSG00000137124	ALDH1B1	ALDH1B1:ENSG00000137124	protein_coding
ENSG00000137133	ENSG00000137133	HINT2	HINT2:ENSG00000137133	protein_coding
ENSG00000137135	ENSG00000137135	ARHGEF39	ARHGEF39:ENSG00000137135	protein_coding
ENSG00000137142	ENSG00000137142	IGFBPL1	IGFBPL1:ENSG00000137142	protein_coding
ENSG00000137145	ENSG00000137145	DENND4C	DENND4C:ENSG00000137145	protein_coding
ENSG00000137154	ENSG00000137154	RPS6	RPS6:ENSG00000137154	protein_coding
ENSG00000137161	ENSG00000137161	CNPY3	CNPY3:ENSG00000137161	protein_coding
ENSG00000137166	ENSG00000137166	FOXP4	FOXP4:ENSG00000137166	protein_coding
ENSG00000137168	ENSG00000137168	PPIL1	PPIL1:ENSG00000137168	protein_coding
ENSG00000137171	ENSG00000137171	KLC4	KLC4:ENSG00000137171	protein_coding
ENSG00000137177	ENSG00000137177	KIF13A	KIF13A:ENSG00000137177	protein_coding
ENSG00000137185	ENSG00000137185	ZSCAN9	ZSCAN9:ENSG00000137185	protein_coding
ENSG00000137193	ENSG00000137193	PIM1	PIM1:ENSG00000137193	protein_coding
ENSG00000137198	ENSG00000137198	GMPR	GMPR:ENSG00000137198	protein_coding
ENSG00000137200	ENSG00000137200	CMTR1	CMTR1:ENSG00000137200	protein_coding
ENSG00000137203	ENSG00000137203	TFAP2A	TFAP2A:ENSG00000137203	protein_coding
ENSG00000137204	ENSG00000137204	SLC22A7	SLC22A7:ENSG00000137204	protein_coding
ENSG00000137207	ENSG00000137207	YIPF3	YIPF3:ENSG00000137207	protein_coding
ENSG00000137210	ENSG00000137210	TMEM14B	TMEM14B:ENSG00000137210	protein_coding
ENSG00000137216	ENSG00000137216	TMEM63B	TMEM63B:ENSG00000137216	protein_coding
ENSG00000137218	ENSG00000137218	FRS3	FRS3:ENSG00000137218	protein_coding
ENSG00000137221	ENSG00000137221	TJAP1	TJAP1:ENSG00000137221	protein_coding
ENSG00000137225	ENSG00000137225	CAPN11	CAPN11:ENSG00000137225	protein_coding
ENSG00000137251	ENSG00000137251	TINAG	TINAG:ENSG00000137251	protein_coding
ENSG00000137252	ENSG00000137252	HCRTR2	HCRTR2:ENSG00000137252	protein_coding
ENSG00000137261	ENSG00000137261	KIAA0319	KIAA0319:ENSG00000137261	protein_coding
ENSG00000137265	ENSG00000137265	IRF4	IRF4:ENSG00000137265	protein_coding
ENSG00000137266	ENSG00000137266	SLC22A23	SLC22A23:ENSG00000137266	protein_coding
ENSG00000137267	ENSG00000137267	TUBB2A	TUBB2A:ENSG00000137267	protein_coding
ENSG00000137269	ENSG00000137269	LRRC1	LRRC1:ENSG00000137269	protein_coding
ENSG00000137270	ENSG00000137270	GCM1	GCM1:ENSG00000137270	protein_coding
ENSG00000137273	ENSG00000137273	FOXF2	FOXF2:ENSG00000137273	protein_coding
ENSG00000137274	ENSG00000137274	BPHL	BPHL:ENSG00000137274	protein_coding
ENSG00000137275	ENSG00000137275	RIPK1	RIPK1:ENSG00000137275	protein_coding
ENSG00000137285	ENSG00000137285	TUBB2B	TUBB2B:ENSG00000137285	protein_coding
ENSG00000137288	ENSG00000137288	UQCC2	UQCC2:ENSG00000137288	protein_coding
ENSG00000137309	ENSG00000137309	HMGA1	HMGA1:ENSG00000137309	protein_coding
ENSG00000137310	ENSG00000137310	TCF19	TCF19:ENSG00000137310	protein_coding
ENSG00000137312	ENSG00000137312	FLOT1	FLOT1:ENSG00000137312	protein_coding
ENSG00000137331	ENSG00000137331	IER3	IER3:ENSG00000137331	protein_coding
ENSG00000137337	ENSG00000137337	MDC1	MDC1:ENSG00000137337	protein_coding
ENSG00000137338	ENSG00000137338	PGBD1	PGBD1:ENSG00000137338	protein_coding
ENSG00000137343	ENSG00000137343	ATAT1	ATAT1:ENSG00000137343	protein_coding
ENSG00000137364	ENSG00000137364	TPMT	TPMT:ENSG00000137364	protein_coding
ENSG00000137392	ENSG00000137392	CLPS	CLPS:ENSG00000137392	protein_coding
ENSG00000137393	ENSG00000137393	RNF144B	RNF144B:ENSG00000137393	protein_coding
ENSG00000137404	ENSG00000137404	NRM	NRM:ENSG00000137404	protein_coding
ENSG00000137409	ENSG00000137409	MTCH1	MTCH1:ENSG00000137409	protein_coding
ENSG00000137411	ENSG00000137411	VARS2	VARS2:ENSG00000137411	protein_coding
ENSG00000137413	ENSG00000137413	TAF8	TAF8:ENSG00000137413	protein_coding
ENSG00000137414	ENSG00000137414	FAM8A1	FAM8A1:ENSG00000137414	protein_coding
ENSG00000137434	ENSG00000137434	C6orf52	C6orf52:ENSG00000137434	protein_coding
ENSG00000137440	ENSG00000137440	FGFBP1	FGFBP1:ENSG00000137440	protein_coding
ENSG00000137441	ENSG00000137441	FGFBP2	FGFBP2:ENSG00000137441	protein_coding
ENSG00000137449	ENSG00000137449	CPEB2	CPEB2:ENSG00000137449	protein_coding
ENSG00000137460	ENSG00000137460	FHDC1	FHDC1:ENSG00000137460	protein_coding
ENSG00000137462	ENSG00000137462	TLR2	TLR2:ENSG00000137462	protein_coding
ENSG00000137463	ENSG00000137463	MGARP	MGARP:ENSG00000137463	protein_coding
ENSG00000137473	ENSG00000137473	TTC29	TTC29:ENSG00000137473	protein_coding
ENSG00000137474	ENSG00000137474	MYO7A	MYO7A:ENSG00000137474	protein_coding
ENSG00000137478	ENSG00000137478	FCHSD2	FCHSD2:ENSG00000137478	protein_coding
ENSG00000137486	ENSG00000137486	ARRB1	ARRB1:ENSG00000137486	protein_coding
ENSG00000137491	ENSG00000137491	SLCO2B1	SLCO2B1:ENSG00000137491	protein_coding
ENSG00000137492	ENSG00000137492	THAP12	THAP12:ENSG00000137492	protein_coding
ENSG00000137494	ENSG00000137494	ANKRD42	ANKRD42:ENSG00000137494	protein_coding
ENSG00000137496	ENSG00000137496	IL18BP	IL18BP:ENSG00000137496	protein_coding
ENSG00000137497	ENSG00000137497	NUMA1	NUMA1:ENSG00000137497	protein_coding
ENSG00000137500	ENSG00000137500	CCDC90B	CCDC90B:ENSG00000137500	protein_coding
ENSG00000137501	ENSG00000137501	SYTL2	SYTL2:ENSG00000137501	protein_coding
ENSG00000137502	ENSG00000137502	RAB30	RAB30:ENSG00000137502	protein_coding
ENSG00000137504	ENSG00000137504	CREBZF	CREBZF:ENSG00000137504	protein_coding
ENSG00000137507	ENSG00000137507	LRRC32	LRRC32:ENSG00000137507	protein_coding
ENSG00000137509	ENSG00000137509	PRCP	PRCP:ENSG00000137509	protein_coding
ENSG00000137513	ENSG00000137513	NARS2	NARS2:ENSG00000137513	protein_coding
ENSG00000137522	ENSG00000137522	RNF121	RNF121:ENSG00000137522	protein_coding
ENSG00000137547	ENSG00000137547	MRPL15	MRPL15:ENSG00000137547	protein_coding
ENSG00000137558	ENSG00000137558	PI15	PI15:ENSG00000137558	protein_coding
ENSG00000137561	ENSG00000137561	TTPA	TTPA:ENSG00000137561	protein_coding
ENSG00000137563	ENSG00000137563	GGH	GGH:ENSG00000137563	protein_coding
ENSG00000137571	ENSG00000137571	SLCO5A1	SLCO5A1:ENSG00000137571	protein_coding
ENSG00000137573	ENSG00000137573	SULF1	SULF1:ENSG00000137573	protein_coding
ENSG00000137574	ENSG00000137574	TGS1	TGS1:ENSG00000137574	protein_coding
ENSG00000137575	ENSG00000137575	SDCBP	SDCBP:ENSG00000137575	protein_coding
ENSG00000137601	ENSG00000137601	NEK1	NEK1:ENSG00000137601	protein_coding
ENSG00000137628	ENSG00000137628	DDX60	DDX60:ENSG00000137628	protein_coding
ENSG00000137634	ENSG00000137634	NXPE4	NXPE4:ENSG00000137634	protein_coding
ENSG00000137642	ENSG00000137642	SORL1	SORL1:ENSG00000137642	protein_coding
ENSG00000137648	ENSG00000137648	TMPRSS4	TMPRSS4:ENSG00000137648	protein_coding
ENSG00000137656	ENSG00000137656	BUD13	BUD13:ENSG00000137656	protein_coding
ENSG00000137672	ENSG00000137672	TRPC6	TRPC6:ENSG00000137672	protein_coding
ENSG00000137673	ENSG00000137673	MMP7	MMP7:ENSG00000137673	protein_coding
ENSG00000137674	ENSG00000137674	MMP20	MMP20:ENSG00000137674	protein_coding
ENSG00000137675	ENSG00000137675	MMP27	MMP27:ENSG00000137675	protein_coding
ENSG00000137691	ENSG00000137691	CFAP300	CFAP300:ENSG00000137691	protein_coding
ENSG00000137692	ENSG00000137692	DCUN1D5	DCUN1D5:ENSG00000137692	protein_coding
ENSG00000137693	ENSG00000137693	YAP1	YAP1:ENSG00000137693	protein_coding
ENSG00000137699	ENSG00000137699	TRIM29	TRIM29:ENSG00000137699	protein_coding
ENSG00000137700	ENSG00000137700	SLC37A4	SLC37A4:ENSG00000137700	protein_coding
ENSG00000137707	ENSG00000137707	BTG4	BTG4:ENSG00000137707	protein_coding
ENSG00000137709	ENSG00000137709	POU2F3	POU2F3:ENSG00000137709	protein_coding
ENSG00000137710	ENSG00000137710	RDX	RDX:ENSG00000137710	protein_coding
ENSG00000137713	ENSG00000137713	PPP2R1B	PPP2R1B:ENSG00000137713	protein_coding
ENSG00000137714	ENSG00000137714	FDX1	FDX1:ENSG00000137714	protein_coding
ENSG00000137720	ENSG00000137720	C11orf1	C11orf1:ENSG00000137720	protein_coding
ENSG00000137726	ENSG00000137726	FXYD6	FXYD6:ENSG00000137726	protein_coding
ENSG00000137727	ENSG00000137727	ARHGAP20	ARHGAP20:ENSG00000137727	protein_coding
ENSG00000137731	ENSG00000137731	FXYD2	FXYD2:ENSG00000137731	protein_coding
ENSG00000137745	ENSG00000137745	MMP13	MMP13:ENSG00000137745	protein_coding
ENSG00000137747	ENSG00000137747	TMPRSS13	TMPRSS13:ENSG00000137747	protein_coding
ENSG00000137752	ENSG00000137752	CASP1	CASP1:ENSG00000137752	protein_coding
ENSG00000137757	ENSG00000137757	CASP5	CASP5:ENSG00000137757	protein_coding
ENSG00000137760	ENSG00000137760	ALKBH8	ALKBH8:ENSG00000137760	protein_coding
ENSG00000137764	ENSG00000137764	MAP2K5	MAP2K5:ENSG00000137764	protein_coding
ENSG00000137766	ENSG00000137766	UNC13C	UNC13C:ENSG00000137766	protein_coding
ENSG00000137767	ENSG00000137767	SQOR	SQOR:ENSG00000137767	protein_coding
ENSG00000137770	ENSG00000137770	CTDSPL2	CTDSPL2:ENSG00000137770	protein_coding
ENSG00000137776	ENSG00000137776	SLTM	SLTM:ENSG00000137776	protein_coding
ENSG00000137801	ENSG00000137801	THBS1	THBS1:ENSG00000137801	protein_coding
